NumID	Toad.ID	location.num	freq	date	release.NS	release.EW	NS.UTM	EW.UTM	NA	dist	displ	dur	bearing	day	month	year	month.num
1	11	1	150.381	36926	8602300	751575	8602300	751575	l	NA	NA	NA	NA	5	2	2005	1
1	11	2	150.381	36927	8602300	751575	8602461	751514	l	172.1685221	172.1685221	1	339.2492044	6	2	2005	1
1	11	3	150.381	36928	8602300	751575	8602490	751459	l	62.17716623	222.6117697	1	297.8014588	7	2	2005	1
1	11	4	150.381	36929	8602300	751575	8603059	751402	l	571.8478819	778.4664412	1	354.2794372	8	2	2005	1
1	11	5	150.381	36930	8602300	751575	8603647	750503	l	1074.21832	1721.508931	1	303.1870966	9	2	2005	1
1	11	6	150.381	36931	8602300	751575	8603820	750101	l	437.6448332	2117.327561	1	293.2845427	10	2	2005	1
2	12	1	150.79	36928	8603670	750049	8603670	750049	l	NA	NA	NA	NA	7	2	2005	1
2	12	2	150.79	36929	8603670	750049	8603311	750420	l	516.2576876	516.2576876	1	134.0582364	8	2	2005	1
2	12	3	150.79	36930	8603670	750049	8603357	750383	l	59.03388857	457.7390086	1	321.188616	9	2	2005	1
2	12	4	150.79	36931	8603670	750049	8603731	749930	l	587.4393586	133.7235955	1	309.5433211	10	2	2005	1
2	12	5	150.79	36932	8603670	750049	8603811	749834	l	124.9639948	257.110871	1	309.8055711	11	2	2005	1
2	12	6	150.79	36933	8603670	750049	8604127	749516	l	448.3079299	702.0954351	1	314.8192568	12	2	2005	1
2	12	7	150.79	36934	8603670	750049	8605310	749843	l	1227.362212	1652.887171	1	15.45164483	13	2	2005	1
2	12	8	150.79	36935	8603670	750049	8605566	749889	l	260.0999808	1902.739078	1	10.18662976	14	2	2005	1
2	12	9	150.79	36936	8603670	750049	8606531	750717	l	1271.538045	2937.949115	1	40.63061945	15	2	2005	1
2	12	10	150.79	36937	8603670	750049	8606943	751094	l	558.4559069	3435.775604	1	42.46002731	16	2	2005	1
2	12	11	150.79	36938	8603670	750049	8608056	751578	l	1213.682413	4644.872119	1	23.50233031	17	2	2005	1
2	12	12	150.79	36939	8603670	750049	8608056	751578	c	0	4644.872119	1	NA	18	2	2005	1
3	13	1	150.75	36932	8603642	750021	8603642	750021	l	NA	NA	NA	NA	11	2	2005	1
3	13	2	150.75	36933	8603642	750021	8603639	750016	l	5.830951895	5.830951895	1	239.0362435	12	2	2005	1
3	13	3	150.75	36934	8603642	750021	8603722	749945	l	109.2245394	110.3449138	1	319.4556028	13	2	2005	1
