X,Y,id,P_name,Length,distance,angle,Pathway,nDays_rain_1
128.97851296045,-16.1533257731094,"1",Kimberley invasion 2009-2023,578057.830373,0.000000000000000,253.954589748095202,Kimberley,46
128.78630437338,-16.208605598151,"1",Kimberley invasion 2009-2023,578057.830373,0.200000000000000,253.954589748095202,Kimberley,48
128.594095786311,-16.2638854231926,"1",Kimberley invasion 2009-2023,578057.830373,0.400000000000000,253.954589748095202,Kimberley,50
128.401887199241,-16.3191652482341,"1",Kimberley invasion 2009-2023,578057.830373,0.600000000000000,253.954589748095202,Kimberley,45
128.209678612171,-16.3744450732757,"1",Kimberley invasion 2009-2023,578057.830373,0.800000000000000,253.954589748095202,Kimberley,51
128.017470025101,-16.4297248983173,"1",Kimberley invasion 2009-2023,578057.830373,1.000000000000000,253.954589748095202,Kimberley,47
127.825261438031,-16.4850047233588,"1",Kimberley invasion 2009-2023,578057.830373,1.200000000000000,253.954589748095202,Kimberley,55
127.633052850961,-16.5402845484004,"1",Kimberley invasion 2009-2023,578057.830373,1.400000000000000,253.954589748095202,Kimberley,56
127.440844263892,-16.5955643734419,"1",Kimberley invasion 2009-2023,578057.830373,1.600000000000000,253.954589748095202,Kimberley,54
127.248635676822,-16.6508441984835,"1",Kimberley invasion 2009-2023,578057.830373,1.800000000000000,253.954589748095202,Kimberley,55
127.056427089752,-16.7061240235251,"1",Kimberley invasion 2009-2023,578057.830373,2.000000000000000,253.954589748095202,Kimberley,53
126.864218502682,-16.7614038485666,"1",Kimberley invasion 2009-2023,578057.830373,2.200000000000000,253.954589748095202,Kimberley,53
126.672009915612,-16.8166836736082,"1",Kimberley invasion 2009-2023,578057.830373,2.400000000000000,253.954589748095202,Kimberley,55
126.479801328543,-16.8719634986498,"1",Kimberley invasion 2009-2023,578057.830373,2.600000000000000,253.954589748095202,Kimberley,54
126.287592741473,-16.9272433236913,"1",Kimberley invasion 2009-2023,578057.830373,2.800000000000000,253.954589748095202,Kimberley,55
126.095384154403,-16.9825231487329,"1",Kimberley invasion 2009-2023,578057.830373,3.000000000000000,253.954589748095202,Kimberley,54
125.903175567333,-17.0378029737745,"1",Kimberley invasion 2009-2023,578057.830373,3.200000000000001,253.954589748095202,Kimberley,52
125.710966980263,-17.093082798816,"1",Kimberley invasion 2009-2023,578057.830373,3.400000000000001,253.954589748095202,Kimberley,53
125.518758393194,-17.1483626238576,"1",Kimberley invasion 2009-2023,578057.830373,3.600000000000001,253.954589748095202,Kimberley,54
125.326549806124,-17.2036424488992,"1",Kimberley invasion 2009-2023,578057.830373,3.800000000000001,253.954589748095202,Kimberley,54
125.134341219054,-17.2589222739407,"1",Kimberley invasion 2009-2023,578057.830373,4.000000000000001,253.954589748095202,Kimberley,47
124.942132631984,-17.3142020989823,"1",Kimberley invasion 2009-2023,578057.830373,4.200000000000001,253.954589748095202,Kimberley,44
124.749924044914,-17.3694819240239,"1",Kimberley invasion 2009-2023,578057.830373,4.400000000000001,253.954589748095202,Kimberley,41
124.557715457844,-17.4247617490654,"1",Kimberley invasion 2009-2023,578057.830373,4.600000000000002,253.954589748095202,Kimberley,41
124.365506870775,-17.480041574107,"1",Kimberley invasion 2009-2023,578057.830373,4.800000000000002,253.954589748095202,Kimberley,39
124.173298283705,-17.5353213991486,"1",Kimberley invasion 2009-2023,578057.830373,5.000000000000002,253.954589748095202,Kimberley,39
123.981089696635,-17.5906012241901,"1",Kimberley invasion 2009-2023,578057.830373,5.200000000000002,253.954589748095202,Kimberley,38
123.788881109565,-17.6458810492317,"1",Kimberley invasion 2009-2023,578057.830373,5.400000000000002,253.954589748095202,Kimberley,37
123.770980455454,-17.6614478104475,"2",La Grange pathway,509922.284037,0.000000000000000,245.164832444735111,La Grange,36
123.589476485011,-17.7454496480078,"2",La Grange pathway,509922.284037,0.200000000000000,245.164832444735111,La Grange,34
123.407972514568,-17.8294514855681,"2",La Grange pathway,509922.284037,0.400000000000000,245.164832444735111,La Grange,34
123.226468544125,-17.9134533231284,"2",La Grange pathway,509922.284037,0.600000000000000,245.164832444735111,La Grange,33
123.044964573683,-17.9974551606887,"2",La Grange pathway,509922.284037,0.800000000000000,245.164832444735111,La Grange,32
122.86346060324,-18.0814569982489,"2",La Grange pathway,509922.284037,1.000000000000000,245.164832444735111,La Grange,33
122.681956632797,-18.1654588358092,"2",La Grange pathway,509922.284037,1.200000000000000,245.164832444735111,La Grange,32
122.500452662354,-18.2494606733695,"2",La Grange pathway,509922.284037,1.400000000000000,245.164832444735111,La Grange,31
122.318948691912,-18.3334625109298,"2",La Grange pathway,509922.284037,1.600000000000000,245.164832444735111,La Grange,31
122.158598810726,-18.4452955117415,"2",La Grange pathway,509922.284037,1.800000000000000,220.359222551640670,La Grange,31
122.029083260807,-18.5976953881497,"2",La Grange pathway,509922.284037,2.000000000000000,220.359222551640670,La Grange,30
121.899567710888,-18.7500952645579,"2",La Grange pathway,509922.284037,2.200000000000000,220.359222551640670,La Grange,30
121.770052160969,-18.9024951409661,"2",La Grange pathway,509922.284037,2.400000000000000,220.359222551640670,La Grange,29
121.640536611051,-19.0548950173743,"2",La Grange pathway,509922.284037,2.600000000000000,220.359222551640670,La Grange,27
121.511021061132,-19.2072948937825,"2",La Grange pathway,509922.284037,2.800000000000000,220.359222551640670,La Grange,26
121.381505511213,-19.3596947701907,"2",La Grange pathway,509922.284037,3.000000000000000,220.359222551640670,La Grange,25
121.251989961294,-19.5120946465989,"2",La Grange pathway,509922.284037,3.200000000000001,220.359222551640670,La Grange,25
121.122474411375,-19.6644945230071,"2",La Grange pathway,509922.284037,3.400000000000001,220.359222551640670,La Grange,24
120.965474303062,-19.7826920217823,"2",La Grange pathway,509922.284037,3.600000000000001,242.071021291318857,La Grange,24
120.788768532985,-19.8763673697749,"2",La Grange pathway,509922.284037,3.800000000000001,242.071021291318857,La Grange,24
120.612062762908,-19.9700427177675,"2",La Grange pathway,509922.284037,4.000000000000001,242.071021291318857,La Grange,23
120.435356992831,-20.06371806576,"2",La Grange pathway,509922.284037,4.200000000000001,242.071021291318857,La Grange,24
120.297171658154,-20.1987977399881,"2",La Grange pathway,509922.284037,4.400000000000001,212.061943682813563,La Grange,24
120.191004498723,-20.368292678728,"2",La Grange pathway,509922.284037,4.600000000000002,212.061943682813563,La Grange,25
