OBJECTID,FEATTYPE,NAME,PERENNIAL,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,TEXTNOTE,Id,RefFID,StepID,SHAPE_Leng,SHAPE_Area,ORIG_FID,RASTERVALU,POINT_X,POINT_Y,rain_1mm,art_nat,ARRIVE_MCP
13284,Bore,SANDY WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1098735.75,-2118145.311,26.278862,1,0
12831,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3542102,10,0,0,,0,0,0,0.02804987,4.55778E-05,2531,7,-1103036.348,-2117131.639,26.278862,0,0
5833,Windpump,WHITEGUM BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1087549.745,-2116753.636,26.65134048,1,0
63873,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3526186,10,0,0,,0,0,0,0.19845733,0.000927593,13430,7,-1098907.537,-2115489.736,26.55272102,0,0
8160,Windpump,NEW GLEESON WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1092284.495,-2115061.468,26.91780663,1,0
50251,Water Tank,PINCHERS TANK,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,7,-1105016.905,-2114564.852,26.36217117,1,0
31754,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3507544,10,0,0,,0,0,0,0.03084391,5.54296E-05,6553,7,-1098186.454,-2113082.851,26.55272102,0,0
84565,Lake,,Perennial,20020523,20020523,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3499601,10,0,0,,0,0,0,0.037057374,8.92431E-05,17222,7,-1098232.195,-2111844.276,26.55272102,0,0
101,Windpump,MOUNT PHIRE BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1078145.55,-2110452.995,27.50993729,1,0
6225,Windpump,YELLOW GAP BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1097611.399,-2110366.894,26.55272102,1,0
