X,Y,fcsubtype,fcsubtype_,full_name,displaynam,datefeatur,datefeat_1,accessleve,metadataid,featuretex,nameid,globalid,systemname,perenniali,perennia_1,origin,origin_des,hierarchyd,hierarchyu,waterpolyg,waterpol_1,salinityco,salinity_1,watercours,watercou_1,leftbankco,leftbank_1,rightbankc,rightban_1,capturemet,capturem_1,datasource,datasour_1,planaccura,spatialrel,attributer,targetdisp,targetdi_1,datacustod,datacust_1,area_m,area_ll,st_area_sh,st_perimet,distance,angle,fid,waterpoint,waterpoi_1,symbolrota,id,layer,path,ndays_1,colonised,TCZ
-886293.821390185,-1769540.95964265,"1",WaterBody,Jinunga River,Jinunga River,"200701251738","201109301853","10",256.000000000000000,,"100017809",{41C8C174-28D4-11DF-B0B6-001E0B884B88},"-98","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19780101","19780101","50000",1:50000,"3",LANDGATE,1088.846707149999929,0.000000090000000,0.000000092092760,0.001311316489083,0.000000000000000,165.009503766315618,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,44.000000000000000,"1","0"
-1306217.11419155,-2250301.55882404,"1",WaterBody,,,"200702081913","201010181601","10",271.000000000000000,,"-99",{609450D2-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,4042.043865680000181,0.000000350000000,0.000000349733030,0.004747888074086,0.000000000000000,237.315457454765095,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,23.000000000000000,"2","0"
-886467.041857586,-1920304.18157135,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,0.000000000000000,238.610103469059737,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-887319.763560035,-1918678.8028053,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,2000.000000000000000,289.923560282275787,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-889041.329219315,-1919322.9096367,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,4000.000000000000000,216.358896219537172,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-890823.990501238,-1919797.26533533,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,6000.000000000000000,292.857540194833291,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-892139.292962673,-1918787.65764784,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,8000.000000000000000,84.413939568069026,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-890508.516568755,-1919818.8257112,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,10000.000000000000000,95.998622897356469,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-888858.701533306,-1919021.58447761,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,12000.000000000000000,60.654836789007838,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-887037.078959202,-1918725.4911029,"1",WaterBody,Fitzroy River,Fitzroy River,"200702071248","201111041800","0",56.000000000000000,,"100012417",{558F9B42-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,572476.749594739987515,0.000048760000000,0.000048761864452,0.146207520168023,14000.000000000000000,114.368518761245952,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
